dist_to_known	known_eex	len_cv	len_median	machine_contaminated	mean_pid	mpf_class	n_defined	n_known	n_occupants	occupancy_pct	pct_short100	rank	slot	subGA_machine_pct	z_len_cv	z_mean_pid	z_occupancy
1.463		0.352	147	1	22.9	MPF_F	7143	0	8907	47.6	33.6	14	T4SS_F_traF|T4SS_F_traH	32.9	-0.61	0.0	-0.45
1.543		0.42	101.0	0	18.7	MPF_F	7522	0	3910	38.3	16.9	15	T4SS_F_traU|T4SS_F_trbC	0.7	-0.43	-0.41	-0.71
1.588		0.469	198	0	32.0	MPF_F	42	0	43	90.5	37.2	16	T4SS_F_traB|T4SS_t4cp2	11.6	-0.29	0.9	0.72
1.657		0.281	85.0	0	31.8	MPF_F	7340	0	10784	83.4	75.6	17	T4SS_F_traF|T4SS_F_traN	0.1	-0.8	0.88	0.53
1.765		0.167	129.0	0	32.0	MPF_F	3715	0	4378	96.4	7.4	18	T4SS_F_traW|T4SS_virb4	0.7	-1.11	0.9	0.88
1.804		0.466	168	0	9.7	MPF_F	44	0	23	31.8	30.4	19	T4SS_F_traB|T4SS_virb4	0.0	-0.3	-1.3	-0.88
2.015		0.698	244	0	14.4	MPF_F	119	0	61	24.4	18.0	20	T4SS_t4cp1|T4SS_t4cp2	0.0	0.33	-0.83	-1.09
2.095		0.602	129	0	30.1	MPF_F	10594	0	4305	38.6	37.6	21	T4SS_F_traU|T4SS_F_traW	1.0	0.07	0.72	-0.7
2.095		0.43	65.0	0	37.1	MPF_F	182	0	182	99.5	98.9	22	T4SS_F_traG|T4SS_F_traN	0.0	-0.4	1.41	0.97
2.251		0.699	93.0	0	37.7	MPF_F	57	0	64	89.5	65.6	23	T4SS_T_virB1|T4SS_virb4	0.0	0.33	1.47	0.69
2.264		0.682	173	0	12.5	MPF_F	185	0	61	15.1	11.5	24	T4SS_t4cp2|T4SS_virb4	14.8	0.28	-1.02	-1.34
2.396		0.553	139	0	26.9	MPF_F	7490	0	1903	16.2	8.7	25	T4SS_F_traN|T4SS_F_trbC	4.9	-0.07	0.4	-1.31
2.602		0.666	251	1	12.5	MPF_F	2885	0	89	1.8	19.1	26	T4SS_F_traN|T4SS_F_traU	34.8	0.24	-1.02	-1.7
2.604		1.001	129.0	0	11.4	MPF_F	3594	0	892	17.2	38.7	27	T4SS_F_traV|T4SS_virb4	5.7	1.15	-1.13	-1.28
2.677		0.761	73	1	14.8	MPF_F	7726	0	73	0.8	65.8	28	T4SS_F_traG|T4SS_F_traH	68.5	0.5	-0.8	-1.73
2.697		1.094	120.0	1	36.8	MPF_F	793	0	2364	99.9	33.0	29	T4SS_F_traH|T4SS_T_virB1	33.5	1.4	1.38	0.98
2.713		1.44	170	0	11.1	MPF_F	141	0	253	92.2	15.4	30	T4SS_T_virB1|T4SS_t4cp1	0.0	2.33	-1.16	0.77
2.816		0.207	153	0	34.4	MPF_F	10973	0	2163	19.1	3.0	31	T4SS_F_traB|T4SS_F_traK	1.5	-1.0	1.14	-1.23
2.846		0.908	91.0	0	19.1	MPF_F	10430	0	84	0.6	60.7	32	T4SS_F_traE|T4SS_F_traL	19.0	0.89	-0.37	-1.74
2.908		0.938	73	0	11.5	MPF_F	11011	0	35	0.2	68.6	33	T4SS_F_traE|T4SS_F_traK	25.7	0.97	-1.12	-1.75
3.991		0.233	128.0	0	55.9	MPF_F	5033	0	6166	98.0	1.8	34	T4SS_F_traW|T4SS_t4cp2	0.0	-0.93	3.26	0.93
4.285		1.941	78.0	0	29.7	MPF_F	3726	0	5386	73.3	50.6	35	T4SS_F_traV|T4SS_t4cp2	0.7	3.69	0.68	0.25
0.0	ExcA	0.392	207	0	26.3	MPF_I	533	445	647	99.4	14.4	1	T4SS_I_traY|T4SS_I_trbA	0.0	-0.47	-0.06	1.0
0.352		0.468	194.0	0	25.6	MPF_I	1716	0	4854	99.5	3.3	2	T4SS_I_traE|T4SS_I_traI	0.0	-0.12	-0.09	1.0
0.359		0.372	144	0	19.1	MPF_I	35	0	45	100.0	2.2	3	T4SS_I_traK|T4SS_I_trbA	0.0	-0.56	-0.4	1.01
0.609		0.521	217.0	0	29.1	MPF_I	140	0	410	99.3	32.0	4	T4SS_I_traY|T4SS_t4cp1	0.0	0.13	0.08	1.0
0.637		0.372	234.0	0	13.7	MPF_I	104	0	112	91.3	11.6	5	T4SS_I_trbA|T4SS_t4cp1	15.2	-0.56	-0.66	0.83
0.68		0.334	152	0	13.3	MPF_I	50	0	101	100.0	35.6	6	T4SS_I_traI|T4SS_I_traU	1.0	-0.73	-0.68	1.01
0.683		0.362	201	1	12.4	MPF_I	489	0	677	99.0	5.9	7	T4SS_I_traR|T4SS_I_traU	52.7	-0.6	-0.72	0.99
0.805		0.563	1144	0	22.9	MPF_I	3119	0	4615	99.6	1.9	8	T4SS_I_traK|T4SS_I_traL	0.0	0.32	-0.22	1.0
0.822		0.214	194	0	25.1	MPF_I	3423	0	3537	98.9	1.8	9	T4SS_I_traW|T4SS_I_traY	0.7	-1.29	-0.11	0.99
1.075		0.228	164.0	0	42.2	MPF_I	1162	0	1234	99.9	4.8	10	T4SS_I_traQ|T4SS_I_traU	17.1	-1.22	0.71	1.01
1.16		0.241	284	0	45.6	MPF_I	50	0	101	100.0	0.0	11	T4SS_I_traN|T4SS_I_traR	0.0	-1.16	0.87	1.01
1.335		0.678	148.0	0	21.9	MPF_I	71	0	198	100.0	27.3	12	T4SS_I_traI|T4SS_I_traM	0.0	0.85	-0.27	1.01
1.627		0.171	300.5	0	52.6	MPF_I	40	0	76	95.0	0.0	13	T4SS_I_traI|T4SS_I_trbA	0.0	-1.48	1.21	0.91
1.898		0.462	126.0	0	21.1	MPF_I	1713	0	494	12.8	8.7	14	T4SS_I_traT|T4SS_I_traU	13.8	-0.14	-0.31	-0.85
2.06		0.247	62	0	66.8	MPF_I	1659	0	1657	99.2	99.5	15	T4SS_I_traQ|T4SS_I_traT	0.0	-1.13	1.89	1.0
2.077		0.364	136	0	55.7	MPF_I	3281	0	1877	28.6	49.9	16	T4SS_I_traL|T4SS_I_traM	0.0	-0.59	1.36	-0.52
2.136		0.448	376.0	0	16.2	MPF_I	3313	0	126	3.0	7.1	17	T4SS_I_trbB|T4SS_t4cp1	0.8	-0.21	-0.54	-1.06
2.197		0.614	155.5	0	10.2	MPF_I	93	0	22	16.1	31.8	18	T4SS_t4cp1|T4SS_t4cp2	9.1	0.56	-0.83	-0.78
2.236		0.579	129	0	19.1	MPF_I	1559	0	115	4.4	42.6	19	T4SS_I_traU|T4SS_I_traW	10.4	0.4	-0.4	-1.03
2.279		0.537	123	0	14.4	MPF_I	3380	0	53	1.2	28.3	20	T4SS_I_traI|T4SS_I_traK	5.7	0.2	-0.63	-1.1
2.329		0.494	83	0	73.7	MPF_I	109	0	109	99.1	99.1	21	T4SS_I_traR|T4SS_I_traT	0.0	0.0	2.23	0.99
2.42		0.651	115	0	28.5	MPF_I	3313	0	69	1.2	44.9	22	T4SS_I_trbA|T4SS_I_trbB	20.3	0.73	0.05	-1.1
2.538		0.655	141	1	11.5	MPF_I	1841	0	19	0.7	10.5	23	T4SS_I_traU|T4SS_I_traV	57.9	0.75	-0.77	-1.11
2.636		0.088	215.0	0	9.2	MPF_I	83	0	2	2.4	0.0	24	T4SS_I_traU|T4SS_t4cp1	0.0	-1.87	-0.88	-1.08
2.658		0.741	115.0	0	21.2	MPF_I	3391	0	44	1.2	38.6	25	T4SS_I_traO|T4SS_I_traP	2.3	1.14	-0.3	-1.1
2.766		0.734	128.5	0	9.4	MPF_I	1838	0	6	0.2	16.7	26	T4SS_I_traV|T4SS_I_traW	16.7	1.11	-0.87	-1.12
2.895		0.802	96	0	13.6	MPF_I	3645	0	49	1.0	55.1	27	T4SS_I_traM|T4SS_I_traN	8.2	1.42	-0.67	-1.11
2.973		0.811	165.0	0	9.9	MPF_I	571	0	4	0.4	25.0	28	T4SS_I_traQ|T4SS_I_traR	0.0	1.47	-0.85	-1.12
3.061		0.859	92	1	16.1	MPF_I	3446	0	13	0.3	61.5	29	T4SS_I_traN|T4SS_I_traO	30.8	1.69	-0.55	-1.12
3.302		0.316	136.0	0	93.9	MPF_I	61	0	48	78.7	0.0	30	T4SS_I_traU|T4SS_t4cp2	0.0	-0.82	3.2	0.56
3.465		0.964	80	0	11.0	MPF_I	3411	0	5	0.1	60.0	31	T4SS_I_traP|T4SS_I_traQ	0.0	2.17	-0.79	-1.13
0.43		0.508	160.0	0	28.8	MPF_FA	58	0	106	81.0	16.0	1	FA_orf17b|T4SS_virb4	0.0	0.46	-0.44	0.65
0.732		0.501	277.0	0	16.2	MPF_FA	83	0	146	95.2	32.9	2	FA_orf13|T4SS_t4cp2	0.0	0.43	-0.86	1.01
0.973	DUF4467	0.626	160	0	17.3	MPF_FA	335	6	217	53.7	4.6	3	FA_orf15|T4SS_virb4	7.4	0.89	-0.82	-0.05
0.973	DUF4467	0.191	171	0	34.2	MPF_FA	38	1	37	92.1	5.4	4	FA_orf15|T4SS_tcpA	0.0	-0.7	-0.27	0.93
1.076		0.702	115.0	0	24.3	MPF_FA	104	0	202	69.2	23.3	5	FA_orf17a|T4SS_tcpA	0.0	1.17	-0.59	0.35
1.364		0.082	83	0	34.2	MPF_FA	88	0	91	96.6	94.5	6	FA_orf13|FA_orf17a	0.0	-1.1	-0.27	1.05
1.382		0.093	91.0	0	35.7	MPF_FA	64	0	66	100.0	93.9	7	FA_orf13|FA_orf17b	0.0	-1.06	-0.22	1.13
1.74		0.401	148	0	20.3	MPF_FA	143	0	9	4.9	22.2	8	FA_orf23|T4SS_tcpA	0.0	0.07	-0.73	-1.29
1.92		0.661	254.0	0	24.9	MPF_FA	224	0	18	6.7	16.7	9	FA_orf14|FA_orf15	0.0	1.02	-0.57	-1.24
2.124		0.656	109	0	8.6	MPF_FA	143	0	3	0.7	33.3	10	FA_orf13|FA_orf14	0.0	1.0	-1.11	-1.39
2.285		0.781	55	0	59.5	MPF_FA	375	0	63	15.5	79.4	11	FA_orf17a|T4SS_virb4	0.0	1.45	0.57	-1.02
2.57		0.118	401.0	0	93.7	MPF_FA	133	0	136	99.2	1.5	12	FA_orf19|T4SS_tcpA	0.0	-0.97	1.7	1.11
2.658		0.034	165.0	0	93.9	MPF_FA	223	0	134	58.7	0.0	13	FA_orf17a|FA_orf19	0.0	-1.27	1.71	0.08
3.373		0.0	102	0	100.0	MPF_FA	31	0	1	3.2	0.0	14	FA_orf15|T4SS_t4cp2	0.0	-1.4	1.91	-1.33
