band	cluster	n_unique	n_records	n_mash_clusters	median_aa	recurs
small (2-4)	128	2	2	2	111	1
small (2-4)	132	2	2	2	493	1
small (2-4)	142	2	2	2	124	1
small (2-4)	149	2	2	2	77	1
small (2-4)	171	2	2	2	343	1
small (2-4)	173	2	2	2	278	1
small (2-4)	180	2	2	2	94	1
small (2-4)	182	2	4	2	66	1
small (2-4)	186	2	3	2	183	1
small (2-4)	187	2	2	2	238	1
small (2-4)	210	2	2	2	610	1
small (2-4)	213	2	2	2	120	1
small (2-4)	231	2	4	2	664	1
small (2-4)	259	2	2	2	117	1
small (2-4)	268	2	2	2	72	1
singleton	69	1	32	2	132	1
singleton	78	1	2	2	114	1
singleton	116	1	3	2	61	1
singleton	185	1	5	2	106	1
singleton	229	1	2	2	153	1
singleton	241	1	2	2	69	1
singleton	0	1	1	1	189	0
singleton	5	1	1	1	430	0
singleton	11	1	1	1	485	0
singleton	19	1	2	1	400	0
singleton	20	1	4	1	305	0
singleton	27	1	1	1	110	0
singleton	41	1	1	1	344	0
singleton	44	1	1	1	246	0
singleton	46	1	1	1	29	0
singleton	49	1	1	1	181	0
singleton	50	1	1	1	47	0
singleton	52	1	1	1	763	0
singleton	53	1	1	1	321	0
singleton	57	1	1	1	30	0
singleton	58	1	1	1	48	0
singleton	59	1	2	1	107	0
singleton	60	1	1	1	116	0
singleton	61	1	1	1	458	0
singleton	64	1	1	1	271	0
singleton	66	1	1	1	100	0
singleton	70	1	1	1	174	0
singleton	73	1	1	1	258	0
singleton	74	1	1	1	149	0
singleton	75	1	1	1	428	0
singleton	80	1	1	1	80	0
singleton	84	1	1	1	151	0
singleton	90	1	1	1	69	0
singleton	91	1	1	1	238	0
singleton	92	1	1	1	66	0
singleton	94	1	1	1	117	0
singleton	95	1	1	1	529	0
singleton	96	1	1	1	473	0
singleton	99	1	1	1	63	0
singleton	100	1	1	1	119	0
singleton	105	1	1	1	81	0
singleton	107	1	1	1	61	0
singleton	108	1	1	1	130	0
singleton	109	1	1	1	377	0
singleton	114	1	1	1	54	0
singleton	115	1	1	1	108	0
singleton	118	1	1	1	123	0
singleton	119	1	1	1	69	0
singleton	120	1	1	1	67	0
singleton	122	1	1	1	74	0
singleton	125	1	1	1	62	0
singleton	126	1	1	1	145	0
singleton	127	1	1	1	77	0
singleton	129	1	1	1	45	0
singleton	131	1	1	1	57	0
singleton	133	1	1	1	300	0
singleton	134	1	1	1	185	0
singleton	135	1	1	1	76	0
singleton	136	1	1	1	202	0
singleton	137	1	1	1	145	0
singleton	139	1	1	1	338	0
singleton	140	1	1	1	59	0
singleton	141	1	1	1	197	0
singleton	143	1	1	1	127	0
singleton	146	1	1	1	63	0
singleton	147	1	1	1	115	0
singleton	150	1	1	1	152	0
singleton	151	1	1	1	95	0
singleton	152	1	1	1	111	0
singleton	153	1	1	1	195	0
singleton	154	1	1	1	68	0
singleton	155	1	1	1	57	0
singleton	156	1	1	1	117	0
singleton	158	1	1	1	65	0
singleton	159	1	1	1	107	0
singleton	164	1	1	1	198	0
singleton	165	1	1	1	117	0
singleton	167	1	1	1	107	0
singleton	168	1	1	1	93	0
singleton	169	1	1	1	91	0
singleton	170	1	1	1	145	0
singleton	174	1	1	1	513	0
singleton	176	1	1	1	168	0
singleton	177	1	1	1	96	0
singleton	179	1	1	1	70	0
singleton	181	1	1	1	256	0
singleton	183	1	1	1	82	0
singleton	184	1	1	1	62	0
singleton	188	1	1	1	144	0
singleton	189	1	1	1	95	0
singleton	190	1	1	1	54	0
singleton	191	1	1	1	82	0
singleton	192	1	1	1	61	0
singleton	193	1	1	1	128	0
singleton	194	1	1	1	157	0
singleton	195	1	1	1	103	0
singleton	196	1	1	1	66	0
singleton	198	1	1	1	90	0
singleton	199	1	1	1	467	0
singleton	200	1	1	1	322	0
singleton	201	1	1	1	135	0
singleton	202	1	1	1	149	0
singleton	203	1	1	1	189	0
singleton	205	1	1	1	43	0
singleton	206	1	1	1	141	0
singleton	207	1	1	1	208	0
singleton	208	1	1	1	178	0
singleton	211	1	1	1	72	0
singleton	212	1	1	1	123	0
singleton	214	1	2	1	60	0
singleton	215	1	2	1	402	0
singleton	217	1	1	1	162	0
singleton	218	1	1	1	338	0
singleton	219	1	1	1	372	0
singleton	220	1	1	1	99	0
singleton	221	1	1	1	84	0
singleton	222	1	2	1	344	0
singleton	223	1	1	1	34	0
singleton	224	1	1	1	424	0
singleton	225	1	1	1	156	0
singleton	226	1	1	1	297	0
singleton	227	1	1	1	225	0
singleton	228	1	1	1	37	0
singleton	230	1	1	1	89	0
singleton	232	1	3	1	225	0
singleton	233	1	1	1	66	0
singleton	234	1	1	1	46	0
singleton	235	1	1	1	517	0
singleton	236	1	1	1	121	0
singleton	237	1	1	1	64	0
singleton	238	1	1	1	131	0
singleton	239	1	1	1	119	0
singleton	242	1	1	1	60	0
singleton	243	1	1	1	71	0
singleton	244	1	1	1	982	0
singleton	246	1	1	1	32	0
singleton	247	1	3	1	76	0
singleton	248	1	1	1	203	0
singleton	250	1	1	1	120	0
singleton	252	1	1	1	144	0
singleton	253	1	1	1	138	0
singleton	254	1	1	1	528	0
singleton	255	1	1	1	261	0
singleton	256	1	1	1	72	0
singleton	257	1	1	1	120	0
singleton	258	1	1	1	168	0
singleton	261	1	1	1	510	0
singleton	262	1	1	1	50	0
singleton	263	1	1	1	129	0
singleton	264	1	1	1	455	0
singleton	266	1	1	1	65	0
singleton	267	1	1	1	101	0
singleton	269	1	2	1	142	0
