family	own_class	kind	n_hits	n_elem	f_own	f_other	f_none	occupancy	pos_entropy	mean_pid	div_ratio	med_offset
I_traI	MPF_I	machine	3727	3669	92.29943654413738	0.8317681781593775	6.868795277703247	98.2583065380493	3.1898885297721367	25.1741409663178	0.8234272020698301	10
I_traK	MPF_I	machine	3481	3460	95.20252800919276	0.8905486929043378	3.9069232979029014	92.65809217577706	3.064309775498958	44.627629804124716	1.4597361790333065	10
I_traL	MPF_I	machine	3356	3339	97.07985697258641	0.8045292014302742	2.1156138259833135	89.41586280814576	2.795091908091337	32.888461158005825	1.075756808860047	8
I_traM	MPF_I	machine	3754	3693	98.02876931273309	0.8257858284496538	1.1454448588172617	98.90139335476957	2.7660490900360126	33.357689745037895	1.0911049227467515	7
I_traN	MPF_I	machine	3746	3697	98.18473037907101	0.8809396689802456	0.9343299519487454	99.06216505894963	2.7273600422348196	35.816892463997064	1.1715435926066058	6
I_traO	MPF_I	machine	3568	3501	98.37443946188341	0.952914798206278	0.672645739910314	93.81028938906752	2.6689884907737387	29.752308354773664	0.9731756112937003	5.0
I_traP	MPF_I	machine	3457	3420	98.78507376337865	0.8678044547295343	0.3471217818918137	91.63987138263666	2.5587180828390683	34.35000895363296	1.123562937126938	4
I_traQ	MPF_I	machine	3918	3372	98.69831546707503	0.8933129147524247	0.40837161817253703	90.35369774919614	2.7013206265786045	31.402182145148544	1.0271417410931016	2.0
I_traR	MPF_I	machine	6091	3352	98.88359875225743	0.7880479395829914	0.3283533081595797	89.81779206859592	2.978831201234993	27.19579129685283	0.8895538626563143	2
I_traT	MPF_I	machine	2383	2349	98.69911875786823	1.0071338648762065	0.2937473772555602	62.942122186495176	1.7916193157954983	30.202461951303533	0.9878997965990978	1.0
I_traV	MPF_I	machine	1851	1843	98.91950297136682	0.6482982171799028	0.4321988114532685	49.330117899249736	0.9729936937222278	85.30874340698809	2.7903847837229305	-1
I_traW	MPF_I	machine	3904	3657	88.72950819672131	0.9733606557377049	10.297131147540984	97.7491961414791	2.198136478149883	38.77227498287403	1.2682119302400905	-1.0
I_traY	MPF_I	machine	3891	3725	91.21048573631457	1.0537136982780777	7.7358005654073505	99.41050375133976	2.485600185584205	24.60895263425532	0.8049403171534629	-3.0
I_trbA	MPF_I	machine	3707	3647	87.56406797949825	0.917183706501214	11.51874831400054	97.18649517684888	4.260701929082004	39.47595899959635	1.2912289047539847	-5.0
I_trbB	MPF_I	machine	4015	3933	77.75840597758406	13.848069738480698	8.393524283935243	90.005359056806	4.503931087466047	20.361200278620007	0.6659995349449996	-3.0
t4cp1	MPF_I	machine	20859	19952	15.413011170238267	57.7736228965914	26.813365933170335	96.16827438370846	4.885487993031219	13.137331735964143	0.42971223242460554	-7.0
t4cp2	MPF_I	machine	22703	21477	14.64123684094613	56.09390829405805	29.264854864995815	99.03536977491962	4.952950009155599	12.940981210580187	0.4232897545351643	-6
FA_orf13	MPF_FA	machine	581	575	65.40447504302927	1.549053356282272	33.04647160068847	79.39393939393939	2.146304626098265	20.470423791715426	1.3306572985266198	-3
FA_orf14	MPF_FA	machine	427	367	75.40983606557377	5.152224824355972	19.437939110070257	65.85858585858585	3.075440812501385	19.28581655583118	1.2536532130052072	-1.5
FA_orf15	MPF_FA	machine	416	405	95.1923076923077	0.2403846153846154	4.5673076923076925	81.61616161616162	2.351181188651855	17.738453241051474	1.1530685690704165	-1
FA_orf17a	MPF_FA	machine	343	339	96.20991253644316	0.0	3.7900874635568513	68.48484848484848	1.5989468626103276	29.99145918668551	1.9495616928252166	1.0
FA_orf17b	MPF_FA	machine	37	36	94.5945945945946	0.0	5.405405405405405	7.2727272727272725	2.158592489772478	15.987176529358733	1.039228759896717	-1
FA_orf19	MPF_FA	machine	185	184	94.5945945945946	0.0	5.405405405405405	37.17171717171717	1.5559721457527895	84.88168271986765	5.51764007289991	3
FA_orf23	MPF_FA	machine	278	144	91.72661870503597	0.0	8.273381294964029	29.09090909090909	1.9837348596435955	43.11380410097862	2.802565236457497	6
t4cp1	MPF_FA	machine	20859	19952	0.11026415456158013	73.07636991226809	26.813365933170335	4.646464646464646	4.885487993031219	17.96830426606967	1.168009781188266	-7.0
t4cp2	MPF_FA	machine	22703	21477	0.8104655772364886	69.92467955776769	29.264854864995815	37.77777777777778	4.952950009155599	16.704917689906207	1.0858847316271112	-6
tcpA	MPF_FA	machine	391	380	58.8235294117647	3.0690537084398977	38.107416879795394	64.04040404040404	2.9727582676198687	21.86526219274593	1.4213272288359085	5.0
